150.0;6;38.0;39.1;1.7;6.0;6.0;6.9;
150.0;6;43.1;43.1;0.0;7.1;6.5;6.7;
150.0;6;48.6;47.9;66.7;7.6;7.1;6.4;
150.0;6;53.6;52.9;72.6;7.2;7.4;6.4;
150.0;6;59.9;59.5;77.8;7.1;6.6;6.9;
150.0;6;49.0;45.0;32.3;7.4;7.0;6.0;
150.0;6;47.5;41.7;32.5;7.0;7.6;6.1;
150.0;6;53.4;40.3;46.6;7.0;7.7;6.4;
150.0;6;57.0;46.5;41.9;6.7;7.1;6.2;
150.0;6;41.2;46.3;73.8;6.5;6.9;6.4;
150.0;6;40.0;44.3;100.0;6.7;6.9;6.0;
150.0;6;36.9;46.0;41.0;6.0;7.5;6.1;
150.0;6;52.9;50.4;71.5;12.2;25.0;6.0;
150.0;6;81.0;79.8;27.0;9.5;26.1;8.7;
150.0;6;71.5;71.3;61.5;10.6;24.0;12.0;
150.0;6;64.2;66.8;56.8;10.6;21.6;14.5;
150.0;6;57.8;58.8;39.6;10.1;18.0;17.5;
150.0;6;50.1;52.0;4.9;11.7;14.5;22.7;
150.0;6;42.0;43.2;20.0;7.6;10.5;27.8;
150.0;6;10.3;22.2;42.1;8.0;9.2;57.5;
150.0;6;36.0;30.8;41.3;9.4;13.0;50.9;
150.0;6;50.2;44.4;100.0;7.5;16.6;42.9;
150.0;6;66.5;62.5;88.2;12.1;21.4;38.6;
150.0;6;88.4;87.7;62.1;6.0;22.6;32.1;
150.0;6;100.0;100.0;26.7;8.4;25.3;19.9;
150.0;6;89.0;88.3;2.8;22.0;23.7;12.2;
150.0;6;0.0;8.5;30.5;6.0;37.0;65.0;
150.0;6;22.3;17.9;96.0;7.0;48.9;60.8;
150.0;6;51.2;25.6;94.6;10.6;58.5;56.5;
150.0;6;60.4;52.2;0.0;7.7;50.4;50.2;
150.0;6;61.6;70.0;19.0;10.4;38.3;38.6;
150.0;6;75.0;83.8;40.3;22.0;29.7;27.0;
150.0;6;76.5;85.6;65.2;32.6;20.1;21.4;
150.0;6;100.0;100.0;70.2;19.0;24.1;13.2;
150.0;6;72.0;73.8;81.7;18.7;16.9;15.4;
150.0;6;50.7;42.7;21.2;20.2;11.2;19.0;
150.0;6;35.1;25.2;69.8;19.1;8.0;24.7;
150.0;6;14.3;17.3;4.3;11.4;6.0;27.7;
150.0;6;6.7;20.7;19.6;7.0;18.2;27.1;
150.0;6;19.7;32.6;53.1;6.4;30.8;25.2;
150.0;6;63.1;66.1;71.5;14.2;6.0;7.7;
150.0;6;63.4;64.5;16.2;13.1;11.4;8.0;
150.0;6;63.0;62.5;49.1;12.4;11.7;6.9;
150.0;6;58.5;55.6;31.7;14.7;12.2;6.5;
150.0;6;51.3;44.8;37.8;15.0;17.0;6.0;
150.0;6;44.3;39.4;76.6;10.4;24.5;8.9;
150.0;6;38.8;37.8;67.2;9.4;26.7;10.1;
150.0;6;68.9;68.6;67.8;6.9;21.6;10.7;
150.0;6;65.1;64.7;37.7;6.9;22.3;9.2;
150.0;6;61.0;60.2;29.9;6.5;22.5;10.5;
150.0;6;56.5;55.9;39.9;6.2;19.6;11.1;
150.0;6;51.2;52.2;48.4;6.4;16.5;12.2;
150.0;6;45.7;46.1;70.8;6.5;13.1;13.0;
150.0;6;39.5;39.6;82.2;6.4;9.1;12.5;
150.0;6;62.9;67.6;5.1;8.6;6.7;6.0;
150.0;6;58.4;66.6;43.4;7.7;10.0;7.0;
150.0;6;56.7;59.8;66.0;7.5;15.9;8.1;
150.0;6;59.8;56.4;93.8;6.2;20.0;9.9;
150.0;6;56.7;51.8;69.0;6.0;16.0;9.9;
150.0;6;51.2;45.4;66.3;7.4;12.7;9.9;
150.0;6;43.1;38.3;28.9;8.1;13.5;9.5;
150.0;6;32.1;32.4;36.5;6.2;7.1;7.1;
150.0;6;35.4;36.5;64.3;6.0;7.4;7.6;
150.0;6;39.8;39.6;41.8;6.4;7.0;7.1;
150.0;6;43.1;43.3;59.7;6.4;6.0;6.1;
150.0;6;48.4;48.7;50.8;6.4;6.0;6.5;
150.0;6;54.3;53.9;14.7;6.9;7.0;6.7;
150.0;6;60.9;59.7;75.7;6.9;6.1;7.2;
